no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
1,POP SURGA (Penghantaran Obat Pasien Sumberglagah),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),Kepala Daerah,"drg. SHINTA SAWITRI, M.Kes",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Pekerjaan Umum Dan Penataan Ruang,85.0,Penerapan,2022-07-22,2023-11-29,,Ada,https://www.youtube.com/watch?v=o_TedznOu3U,Sangat Inovatif,-7.60739065953564,112.54078722662341
2,PHEC (Pre Hospital Emergency Care),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSK Sumberglagah Mojokerto (jatimprov.dinkes.uptsumberglagahmjk),OPD,"drg. SHINTA SAWITRI, M.Kes",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Kesehatan,92.0,Penerapan,2022-07-22,2023-06-24,,Ada,https://youtu.be/TJaII4_0UkI,Sangat Inovatif,-7.6073109183015,112.54072288029913
3,Naskah Dinas Elektronik (NADINE),Provinsi Jawa Timur,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (jatimprov.bakorwilpamekasan),OPD,"Dra. SUFI AGUSTINI, M.Si",Inovasi Tata Kelola Pemerintahan Daerah,Teknologi,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",Kearsipan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,110.0,Penerapan,2023-06-20,2024-12-31,2024-12-31,Ada,https://drive.google.com/file/d/192dhJGWtC4lDcuxiKw_n5B7iFEPUpgne/view,Sangat Inovatif,-7.158553824257441,113.48272568540575
4,PERMATA ( Pertanian Ramah Lingkungan menuju Masyarakat Tangguh dan Alamiah ),Provinsi Jawa Timur,Dinas Pertanian dan Ketahanan Pangan (jatimprov.dispertanian),OPD,Tidak Disebutkan,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pertanian,Tidak Ada,60.0,Uji Coba,2023-06-26,2023-09-25,,Tidak Ada,-,Inovatif,,
5,SIGALON,Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mata Masyarakat (jatimprov.dinkes.uptmatamasy),OPD,Tidak Disebutkan,Inovasi Pelayanan Publik,Digital,Tidak Diisi,Kesehatan,Tidak Ada,52.0,Penerapan,2023-07-10,2023-07-10,,Ada,https://drive.google.com/file/d/1JKCIqN4TRVL-Om9yFgXMyJYJIPe-DMRa/view?usp=drive_link,Inovatif,,
6,e-DESI (Deteksi Hipertensi Secara Mandiri),Provinsi Jawa Timur,Dinas Kesehatan Provinsi Jawa Timur (jatimprov.dinkes),Kepala Daerah,Dinas Kesehatan Provinsi Jawa Timur,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,89.0,Penerapan,2023-07-12,2023-04-16,,Ada,https://drive.google.com/drive/folders/1e9zqHYmlrIknOUY2YwUz0VLH5t3zNSnU,Sangat Inovatif,-7.325387,112.731079
7,Si Onde ( aplikaSI ONe Day sErvice ),Provinsi Jawa Timur,Dinas Pekerjaan Umum Bina Marga Provinsi Jawa Timur (jatimprov.pubm),OPD,Tidak Disebutkan,Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pekerjaan Umum Dan Penataan Ruang,Perumahan Rakyat Dan Kawasan Permukiman,77.0,Penerapan,2023-07-14,2023-07-14,,Ada,https://res3.tuxedovation.com/5ce0f6259e0ff2e37608eacd02f299b3507551f3.jpg,Sangat Inovatif,,
8,SPORTOFOLIO - Portfolio Digital Pembelajaran PJOK di Indonesia,Provinsi Jawa Timur,"SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,Tidak Disebutkan,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,"Kepemudaan Dan Olah Raga,Kearsipan,Pendidikan Dan Pelatihan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",0.0,Penerapan,2023-07-14,2023-07-24,,Tidak Ada,-,Kurang Inovatif,,
9,SMANSI-ku - Aplikasi Panduan Informasi Untuk Siswa SMAN 1 SINE,Provinsi Jawa Timur,"SMAN 1 SINE, KAB. NGAWI  (jatimprov.dispendik.sman1sine)",ASN,Tidak Disebutkan,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,"Komunikasi Dan Informatika,Statistik,Pendidikan Dan Pelatihan",0.0,Penerapan,2023-07-14,2023-07-17,,Tidak Ada,-,Kurang Inovatif,,
11,MY FAVORITE TEMPE,Provinsi Jawa Timur,SLB CAHAYA PUTIH (jatimprov.dispendik.slbcahayaputih),OPD,Tidak Disebutkan,Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pangan,Tidak Ada,11.0,Penerapan,2023-07-18,2023-05-31,,Ada,https://www.youtube.com/watch?v=jw9yaiNaNG4,Kurang Inovatif,,
12,PEMBUATAN KAOS DAN SISIR KAYU INOVASI MODEL TERBARU,Provinsi Jawa Timur,"SMK DARUSSALAM, KAB. JOMBANG  (jatimprov.dispendik.smkdarussalam)",OPD,Tidak Disebutkan,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan Dan Pelatihan,Tidak Ada,45.0,Uji Coba,2023-07-26,2023-05-02,,Tidak Ada,-,Inovatif,,
13,"""Inovasi Terkini dalam Pengolahan Makanan: Menciptakan Kelezatan dan Nutrisi yang Lebih Sehat""",Provinsi Jawa Timur,SMA BINA INSAN MANDIRI (jatimprov.dispendik.smabinainsan),Masyarakat,Tidak Disebutkan,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Kesehatan,Pertanian,0.0,Uji Coba,2023-07-28,2023-07-28,,Tidak Ada,-,Kurang Inovatif,,
14,"""GURITON"" Yogurt Sari Beton Inovasi Minuman Fermentasi dari Beton Nangka  (Artocarpus Heterophyllus)",Provinsi Jawa Timur,"SMAN 1BABADAN, KAB. PONOROGO  (jatimprov.dispendik.sman1babadan)",OPD,Tidak Disebutkan,Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pangan,Penelitian Dan Pengembangan,60.0,Inisiatif,2023-07-28,2023-06-28,,Ada,https://res3.tuxedovation.com/23c34c4d1016e5556c0bcdd2133c0e1b2c5b08de.mp4,Inovatif,,
15,APEL BAJA (APLIKASI PELAYANAN BARANG / JASA) Provinsi Jawa Timur,Provinsi Jawa Timur,admin.jawa.timur (iga2025.provinsi.jawa.timur),OPD,"Dr. ENDY ALIM ABDI NUSA, S.IP.,MM",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Perencanaan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,85.0,Penerapan,2024-07-05,2023-01-01,,Ada,https://drive.google.com/drive/folders/1IrAV1bcdzK5FPqKL8TguwVlFapSb8hk2?usp=sharing,Sangat Inovatif,-6.9937973109231875,110.42018322343964
